Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
20;2;26.672586441;12.5;5;28.5039470196;2;19.625;12.5;2;28.9990065098;
21;2;26.8267765045;12.5;5;28.871723175;2;19.625;12.5;2;29.3989467621;
22;2;26.992275238;12.5;5;29.263862133;2;19.625;12.5;3;29.8212919235;
23;2;27.1687374115;12.5;5;29.6789975166;2;19.625;12.5;3;30.2638244629;
24;2;27.3555488586;12.5;5;30.1151270866;2;19.625;12.5;3;30.7236814499;
25;2;25.3555488586;13.5;5;30.5695996284;2;19.625;12.5;3;31.19739151;
26;2;25.25;14.5;7;31.0391392708;2;19.625;12.5;3;31.680949688;
27;3;25.25;14.9156551361;6;31.5199065208;2;20.625;12.5;3;32.1699318886;
28;3;25.25;15.1079626083;6;32.007601738;2;21.2382354736;12.5;3;32.6596431732;
29;3;25.25;15.3030405045;7;32.4976010323;2;21.3484191895;12.5;4;33.1452922821;
30;4;25.25;15.4990406036;6;32.9851250648;2;19.625;13.5;4;33.6221752167;
31;4;25.25;15.6940498352;6;33.465420723;2;19.625;14.5;4;34.0858602524;
32;4;25.25;15.8861684799;6;33.9339466095;2;18.625;13.5;3;34.5323524475;
33;4;25.25;16.0735778809;6;34.3865451813;2;18.625;13.5;3;34.9582242966;
34;4;25.25;16.254617691;6;34.8195896149;2;17.625;13.5;3;35.3607130051;
35;4;25.25;16.4278354645;6;36.2300891876;2;17.625;14.5;3;35.7377691269;
36;4;27.25;19.4278354645;6;36.6557540894;2;17.0409984589;15.5;3;36.088060379;
37;4;29.25;21.5;7;37.056201458;2;16.4948139191;16.5;3;36.4109382629;
38;4;30.7365322113;23.5;7;37.4305632114;2;15.4948139191;15.5;3;36.7063741684;
39;5;31.7555999756;25.5;5;47.778613925;2;16.0;15.5;4;36.9748744965;
40;5;33.7751998901;28.5;5;49.50068748;2;17.0;15.5;5;37.2173805237;
41;5;36.1453094482;30.5;6;50.1919858456;2;16.0;14.5;6;37.4351701736;
42;5;37.2789154053;32.5;6;50.8326094151;2;16.0;14.5;6;37.6297597885;
43;5;37.8698005676;34.5;6;51.4234036207;2;15.0;13.5;7;37.8028182983;
44;5;37.9916152954;36.5;7;51.9660022259;2;15.0;13.5;7;37.9560909271;
45;5;38.1040802002;38.5;7;52.462657094;2;15.0;13.5;7;38.0;
46;6;38.2079544067;39.5;8;52.8676623106;2;15.0;13.5;8;38.0;
47;6;37.7769622803;40.5;9;53.1566996574;2;16.0;14.5;8;38.0;
48;6;38.3153762817;41.5;9;53.4238741398;2;16.9249992371;15.5;8;38.0;
49;6;38.3490524292;42.5;10;53.670820117;2;17.9249992371;17.5;9;38.0;
50;7;39.3832397461;40.5;10;53.8992394209;2;18.9249992371;19.5;10;38.0;
51;7;38.4179115295;41.5;11;54.0067657232;2;19.9249992371;20.5;11;38.0;
52;7;38.4530410767;42.5;11;54.0858091116;2;20.9249992371;21.5;12;38.0;
53;8;39.4886131287;40.5;10;69.1657607555;2;21.9249992371;22.5;12;38.0;
54;9;39.5245933533;42.5;9;71.9844043255;2;22.5499992371;22.5;12;38.0;
55;9;42.2034835815;42.0;9;74.4213360548;2;22.5499992371;22.5;13;38.0;
56;9;41.7665367126;44.3899993896;9;76.5042034388;2;22.5499992371;22.5;14;38.0;
57;9;42.2299690247;46.6872596741;9;79.2697323561;2;22.5499992371;22.5;16;38.0;
58;9;43.6109237671;49.9097442627;9;80.7307344675;3;22.5499992371;22.5;15;38.0;
59;9;43.153842926;53.1155433655;9;81.7765413523;3;22.5499992371;22.5;15;38.0;
60;9;43.2479476929;54.1686897278;10;84.7293508053;4;22.5499992371;22.5;14;48.0;
61;9;45.3295059204;57.2227745056;10;85.5546352863;4;23.5499992371;23.5;14;48.3999996185;
62;9;47.3499984741;60.2777137756;10;86.2975008488;4;24.5499992371;24.5;13;48.7743997574;
63;9;47.3499984741;63.1259918213;11;86.91776824;4;24.5499992371;25.5;13;49.1219387054;
64;10;47.3499984741;65.2934570312;12;87.4346005917;4;24.5499992371;26.5;13;49.4420347214;
65;10;47.3499984741;67.4745330811;12;87.988571763;4;24.5499992371;27.5;13;49.7347183228;
66;10;47.3499984741;68.8267974854;13;88.5809879303;4;24.5499992371;28.5;13;51.0005426407;
67;10;47.3499984741;69.0704498291;14;89.2125765085;4;25.5499992371;30.5;13;51.2804880142;
68;10;47.0638046265;69.5978240967;14;89.8833142519;4;26.5499992371;32.5;13;51.537045002;
69;10;47.0738945007;70.8151016235;15;90.5922549963;4;26.5499992371;34.5;14;51.7717506886;
70;11;47.0839691162;72.0478286743;14;91.3373776674;4;26.5499992371;36.5;14;51.9862831831;
71;11;43.3499984741;74.5688934326;15;92.1154689789;4;26.5499992371;38.5;14;52.1823891401;
72;11;42.1040344238;77.8042144775;17;92.9220663309;5;26.5499992371;39.5;13;69.2577478886;
