Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
110;11;30.7530956268;98.1971054077;35;71.7892785072;15;39.2999992371;119.021118164;21;98.5332571268;
111;11;30.7762317657;98.2486572266;36;71.9594564438;16;40.2999992371;125.438041687;20;100.863419652;
112;11;30.7986946106;98.2978973389;33;73.1232662201;16;41.2999992371;128.497528076;17;102.928659081;
113;11;30.4704589844;100.344856262;32;73.3806735277;16;41.2999992371;131.557632446;13;104.571856618;
114;11;31.4915027618;102.389572144;33;73.5947294235;17;42.2999992371;135.618255615;10;106.998274803;
115;11;31.5118103027;104.399993896;33;73.8000304699;17;42.2999992371;140.356689453;11;106.385730028;
116;11;31.5313720703;106.399993896;34;74.0119951963;18;44.2999992371;146.442352295;11;107.886270106;
117;11;31.5501785278;107.599990845;32;74.2311418056;19;44.2999992371;147.528106689;10;107.216361523;
118;12;31.5682258606;108.599990845;34;74.4579695463;18;45.2999992371;149.613723755;13;106.677933156;
119;13;31.9780426025;107.599990845;31;77.2377040386;17;46.4265213013;148.908691406;14;105.409680843;
120;14;34.1080436707;107.18800354;31;81.1724581718;17;45.6765213013;149.307617188;14;105.179467559;
121;14;34.5653762817;110.749053955;31;84.835783124;17;45.6765213013;148.48046875;14;106.416824937;
122;14;33.8531417847;113.161201477;33;88.2598376274;17;46.6765213013;148.658065796;15;107.492368877;
123;14;34.8958587646;116.261329651;33;92.4797854424;17;46.7885665894;148.839828491;17;108.358081162;
124;14;37.809211731;115.413421631;33;96.4135463238;17;47.8499984741;146.025161743;17;108.943290919;
125;18;40.9131011963;118.404693604;31;109.506983131;14;45.8006820679;138.039199829;17;99.2061678171;
126;18;44.4292373657;120.835327148;31;112.519422054;14;46.6206169128;140.247543335;19;99.7335758209;
127;18;48.5026130676;124.249755859;33;115.434037179;14;46.2733573914;142.45614624;20;100.179341793;
128;19;50.3415794373;127.643585205;29;118.232770324;14;47.3179359436;141.664733887;13;101.675052404;
129;19;51.7387161255;131.013275146;30;120.90209344;14;46.4675064087;144.265060425;14;103.248914599;
130;19;53.6081619263;134.356292725;31;124.433025569;14;46.6248931885;146.894104004;14;104.890776157;
131;19;55.0152816772;135.671051025;31;127.940839171;14;47.7890777588;146.550598145;15;107.58937645;
132;19;56.6489181519;138.956924438;32;130.467602849;14;47.9589385986;150.23298645;15;110.422689557;
133;19;59.034702301;139.956924438;34;132.887263358;14;50.1332702637;154.939178467;17;113.445438504;
134;20;58.6952323914;143.956924438;36;136.207714558;14;51.4295463562;158.666717529;16;115.556409717;
135;20;59.7289886475;148.956924438;37;138.423935533;14;52.7516365051;163.412826538;16;117.70752275;
136;20;62.0425491333;150.956924438;38;140.527367711;14;54.0707550049;169.174255371;20;119.890297413;
137;21;61.3309020996;154.44543457;39;142.57898581;14;53.289024353;171.947525024;21;122.097193599;
138;21;61.6069068909;157.476211548;41;144.457407653;14;53.5097160339;174.728866577;22;124.321662188;
139;21;61.852306366;160.50869751;40;145.926207542;14;54.7321586609;177.514282227;23;126.558091164;
140;21;63.0257835388;159.542984009;39;148.399892211;14;53.9558067322;178.299713135;25;128.801652193;
141;21;64.4512176514;161.876754761;39;149.984824896;14;54.1801643372;180.081069946;28;131.048085451;
142;21;66.5281448364;164.15864563;40;151.622236133;14;55.4048042297;182.854324341;28;133.293437362;
143;21;66.9754486084;166.418411255;42;153.3095963;14;54.6293449402;183.615615845;29;135.53378427;
144;21;67.0429153442;168.693984985;34;155.043279529;14;54.8533821106;185.361328125;23;137.764961958;
145;21;68.0429153442;173.984786987;35;156.818377972;14;56.0764961243;189.088150024;25;139.982311487;
146;22;71.0429153442;178.4037323;36;174.802300453;13;53.6808586121;182.793121338;27;125.997579813;
