Turn;Planet_count_KI_1_SP_EGASSEM;Research_KI_1_SP_EGASSEM;Industry_KI_1_SP_EGASSEM;Ships_KI_1_SP_EGASSEM;Population_KI_1_SP_EGASSEM;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
229;12;82.3389816284;173.200012207;44;121.572935984;11;53.8160972595;142.632354736;38;76.1795992851;
230;12;84.5282745361;176.200012207;43;122.580762677;11;52.876033783;143.737579346;38;76.3197650909;
231;12;84.8219985962;179.200012207;44;123.537528835;11;52.9325904846;144.843261719;40;76.4406147003;
232;13;84.0681152344;184.448547363;45;124.450309128;11;51.9750022888;145.949264526;45;76.5030794144;
233;13;85.2712478638;186.502929688;45;125.161802232;11;50.9750022888;147.055450439;45;76.5655794144;
234;13;87.3995819092;182.569137573;40;125.972705632;11;50.9750022888;148.161712646;42;76.628036499;
235;13;84.4972686768;187.649688721;41;126.795449764;11;49.9750022888;149.267883301;42;76.690372467;
236;13;85.5795440674;191.569137573;41;127.62835896;11;49.9750022888;147.373840332;44;77.0325102806;
237;13;86.6628341675;191.569137573;41;128.470137715;11;49.1779975891;148.479492188;44;77.9002382755;
238;13;84.7470169067;197.569137573;42;130.319949776;11;48.3743400574;149.678237915;44;78.7484512329;
239;13;87.7991256714;198.369125366;43;131.12930727;11;47.5631599426;150.879730225;45;79.5739195347;
240;13;88.9129333496;198.369125366;43;131.946863651;11;46.7437477112;152.083526611;46;80.3738327026;
241;13;87.0946884155;204.369125366;44;132.77550292;11;46.9155311584;153.289154053;46;81.1458227634;
242;13;88.1775512695;207.369125366;43;133.617018104;11;47.0781135559;151.496154785;48;81.8879790306;
243;13;89.2617034912;207.369125366;47;134.47408998;11;46.2312355042;152.704025269;49;82.5988409519;
244;13;88.3253250122;209.369125366;47;135.350363731;11;45.3747825623;153.912261963;50;83.2773842812;
245;13;88.435043335;211.369125366;46;136.250481486;11;44.5087623596;155.120361328;48;83.922996521;
246;13;89.5250473022;211.369125366;47;137.18005538;11;44.3333053589;156.327804565;48;84.5354406834;
247;13;87.6016921997;212.369125366;49;136.923689961;11;44.4486236572;157.534088135;50;85.1148161888;
248;13;89.0536193848;212.369125366;50;136.83338505;11;45.5550231934;155.738739014;50;85.6615166664;
249;13;89.2773895264;209.746124268;50;136.904182553;11;44.6528701782;157.738739014;51;86.1761860847;
250;13;89.1609954834;209.369125366;50;137.131643474;11;44.7425765991;159.738739014;51;86.6596751213;
251;13;88.9941482544;213.369125366;51;137.510861516;11;44.8245849609;161.738739014;52;87.0449142456;
252;13;91.9139709473;211.369125366;52;138.035297155;11;45.8499984741;160.738739014;53;87.3753995895;
253;13;90.8601226807;215.369125366;53;138.695539117;11;45.8499984741;159.738739014;55;87.6867685318;
254;13;92.8451385498;216.369125366;55;139.478150427;11;46.8499984741;159.738739014;56;87.8747625351;
255;13;94.8226547241;214.369125366;56;140.36484319;11;47.8499984741;159.738739014;56;87.9783630371;
