Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
116;9;52.2000007629;87.6153564453;12;106.548826694;12;65.7130661011;103.455169678;23;123.666123748;
117;9;53.2000007629;88.5638198853;10;107.425941825;12;64.7666168213;105.529304504;25;124.260922372;
118;9;54.2000007629;89.5174407959;11;107.886088848;12;64.8260955811;107.144554138;25;124.91819495;
119;9;55.2000007629;90.475692749;11;108.351853848;12;65.8918228149;105.768821716;25;126.639798641;
120;9;56.2000007629;90.4381256104;11;108.822616935;12;65.9639816284;108.456787109;27;128.545784175;
121;9;57.2000007629;90.4043121338;11;109.297873139;12;68.0425796509;112.208496094;27;129.646982908;
122;9;58.2000007629;90.3738861084;12;109.777202606;12;70.2527008057;113.021736145;27;131.832646132;
123;9;59.2000007629;90.346496582;12;110.260235071;12;70.4832687378;117.891586304;29;133.177165389;
124;9;59.7000007629;92.3738861084;12;111.572099447;12;71.6097259521;123.810279846;29;134.597573996;
125;9;60.3000030518;92.2076873779;14;111.920250654;12;79.6415252686;122.76714325;30;136.08298254;
126;9;61.3000030518;93.0969161987;13;112.243249416;12;81.4633026123;126.748931885;24;137.620438933;
127;9;62.3000030518;93.9972229004;14;112.584542036;12;84.9724502563;130.740509033;26;139.195780039;
128;9;63.3000030518;94.2075042725;14;112.942213297;12;90.5158996582;127.725708008;27;140.794655919;
129;9;64.3000030518;96.2972259521;17;114.10373807;12;92.0933761597;130.688537598;27;142.403570771;
130;9;65.3000030518;94.9224014282;17;114.409489393;12;89.8575210571;135.614242554;24;144.010779381;
131;9;66.3000030518;95.7701644897;17;115.236976385;12;92.2827835083;134.990356445;25;145.606888533;
132;9;67.3000030518;96.6331481934;17;116.076197386;12;91.044418335;135.086929321;27;147.185098648;
133;9;68.3000030518;97.5098342896;17;116.92231226;12;91.1000289917;136.151321411;28;148.741077662;
134;9;69.3000030518;98.3988494873;19;117.770611286;12;91.2741088867;139.161834717;30;150.272541285;
135;9;70.3000030518;99.2989654541;20;118.019495487;12;92.3902587891;141.832275391;31;151.778657436;
136;9;71.3000030518;100.209060669;20;118.28183794;12;94.525177002;141.374710083;32;153.259391785;
137;9;72.3000030518;101.128158569;20;118.554605484;12;96.6081237793;142.477752686;32;154.714906693;
138;9;73.3000030518;102.055343628;21;118.834945679;12;98.7986373901;140.581848145;33;156.130344152;
139;9;74.3000030518;105.128158569;21;119.919781208;12;95.1369018555;141.676574707;35;157.494916439;
140;9;75.3000030518;104.810379028;19;120.127494812;12;93.4000701904;145.141296387;31;158.724452257;
141;9;75.3000030518;105.669342041;19;120.343352318;12;93.6109771729;146.516067505;33;159.872807026;
142;9;75.3000030518;107.542404175;20;120.564480782;12;91.7749023438;147.886230469;33;161.017830133;
143;9;75.3000030518;108.996856689;21;120.788299561;12;90.7866668701;149.968566895;33;162.151732683;
144;9;75.3000030518;109.857162476;21;120.898718834;12;83.4492263794;159.267028809;34;163.267097473;
145;9;75.3000030518;110.731445312;22;121.007072926;12;81.7267150879;167.399429321;36;164.357089758;
