Turn;Planet_count_KI_1_SP_CRAY;Research_KI_1_SP_CRAY;Industry_KI_1_SP_CRAY;Ships_KI_1_SP_CRAY;Population_KI_1_SP_CRAY;Planet_count_KI_6_SP_EGASSEM;Research_KI_6_SP_EGASSEM;Industry_KI_6_SP_EGASSEM;Ships_KI_6_SP_EGASSEM;Population_KI_6_SP_EGASSEM;
26;2;27.7563209534;12.5;4;31.0391392708;3;18.9500007629;14.7009658813;5;29.9643349648;
27;2;27.9676132202;12.5;4;31.5199065208;3;18.9500007629;14.982167244;5;30.524679184;
28;2;28.1839580536;12.5;4;32.007601738;3;19.9500007629;12.982167244;6;31.0766792297;
29;2;28.403421402;12.5;4;32.4976010323;3;20.9500007629;11.982167244;7;31.6143198013;
30;2;28.6239204407;12.5;4;32.9851250648;3;21.1132221222;11.0;7;32.1321163177;
31;2;28.8433074951;12.5;4;33.465420723;3;17.1132221222;13.0;7;32.6253356934;
32;2;29.0594387054;12.5;4;33.9339466095;3;17.9500007629;13.0;7;33.0901584625;
33;2;29.270275116;12.5;5;34.3865451813;3;16.9500007629;12.0;5;33.5237665176;
34;2;29.4739456177;12.5;5;34.8195896149;3;14.0;11.0;5;33.9243593216;
35;2;29.6688156128;12.5;5;35.2300891876;3;15.0;12.0;5;34.2911100388;
36;2;29.8535404205;14.5;5;35.6157541275;3;16.0;13.0;5;34.6240625381;
37;2;30.0270881653;16.5;5;35.9750175476;3;17.0;14.0;4;34.9240026474;
38;2;30.1887588501;18.5;5;36.307009697;3;18.0;15.0;5;35.1923046112;
39;2;30.3381538391;20.5;5;36.6115064621;3;18.9500007629;16.0;5;35.4307813644;
40;2;30.4751777649;22.5;5;36.8888463974;3;18.9500007629;17.0;7;35.6415395737;
41;2;30.599981308;22.5;6;37.1398382187;3;18.9500007629;18.0;7;35.8268547058;
42;2;30.7129268646;22.5;6;37.3656587601;3;18.9500007629;19.0;7;35.9890642166;
43;2;30.8145465851;22.5;6;37.5677556992;3;18.9500007629;20.0;7;36.0;
44;2;30.9054908752;22.5;7;37.747756958;3;18.9500007629;21.0;7;36.0;
45;2;30.9864902496;22.5;7;37.9073896408;3;18.9500007629;22.0;7;36.0;
46;2;31.0583248138;22.5;7;38.0;4;18.9500007629;23.0;6;36.0;
47;2;31.1000003815;22.5;7;38.0;4;19.9500007629;21.0;7;36.0;
48;2;31.1000003815;22.5;7;38.0;4;18.9500007629;22.0;7;36.0;
49;2;31.1000003815;22.5;8;38.0;4;18.9500007629;24.0;7;36.0;
50;2;31.1000003815;22.5;8;38.0;4;18.9500007629;26.0;7;36.0;
51;2;31.1000003815;22.5;8;38.0;4;18.9500007629;28.0;7;36.0;
52;2;31.1000003815;22.5;8;38.0;4;18.9500007629;30.0;7;36.0;
